"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"The Weeknd","1Xyo4u8uXC1ZmMpatF05PJ","6F87lH0I09qlrzvCCKc7lz","album","2011-08-18",2011,"day",0.26,0.491,0,-8.059,0,0.0501,0.476,0.0263,0.0558,0.207,179.327,"0l1p13Fbujayv894H0hfpS","https://api.spotify.com/v1/audio-analysis/0l1p13Fbujayv894H0hfpS",3,1,320004,FALSE,"https://api.spotify.com/v1/tracks/0l1p13Fbujayv894H0hfpS",FALSE,"Thursday",NA,3,"track","spotify:track:0l1p13Fbujayv894H0hfpS","https://open.spotify.com/track/0l1p13Fbujayv894H0hfpS","Thursday (Original)","C","minor","C minor"
"The Weeknd","1Xyo4u8uXC1ZmMpatF05PJ","6F87lH0I09qlrzvCCKc7lz","album","2011-08-18",2011,"day",0.654,0.383,3,-9.875,0,0.0363,0.129,0.000755,0.103,0.268,139.95,"53qYItjefG5SUf62428dIw","https://api.spotify.com/v1/audio-analysis/53qYItjefG5SUf62428dIw",4,1,418056,TRUE,"https://api.spotify.com/v1/tracks/53qYItjefG5SUf62428dIw",FALSE,"The Zone",NA,4,"track","spotify:track:53qYItjefG5SUf62428dIw","https://open.spotify.com/track/53qYItjefG5SUf62428dIw","Thursday (Original)","D#","minor","D# minor"
"The Weeknd","1Xyo4u8uXC1ZmMpatF05PJ","6F87lH0I09qlrzvCCKc7lz","album","2011-08-18",2011,"day",0.56,0.586,0,-7.382,0,0.0351,0.00176,0,0.0838,0.171,127.873,"5SF1kcOiOmtZFUIQNGC4TC","https://api.spotify.com/v1/audio-analysis/5SF1kcOiOmtZFUIQNGC4TC",4,1,214515,FALSE,"https://api.spotify.com/v1/tracks/5SF1kcOiOmtZFUIQNGC4TC",FALSE,"The Birds Pt. 1",NA,5,"track","spotify:track:5SF1kcOiOmtZFUIQNGC4TC","https://open.spotify.com/track/5SF1kcOiOmtZFUIQNGC4TC","Thursday (Original)","C","minor","C minor"
"The Weeknd","1Xyo4u8uXC1ZmMpatF05PJ","6F87lH0I09qlrzvCCKc7lz","album","2011-08-18",2011,"day",0.278,0.564,9,-7.61,0,0.0357,0.459,9.4e-06,0.256,0.177,78.639,"2yYDijitHN6psA2tH0ndXs","https://api.spotify.com/v1/audio-analysis/2yYDijitHN6psA2tH0ndXs",3,1,350583,TRUE,"https://api.spotify.com/v1/tracks/2yYDijitHN6psA2tH0ndXs",FALSE,"The Birds Pt. 2",NA,6,"track","spotify:track:2yYDijitHN6psA2tH0ndXs","https://open.spotify.com/track/2yYDijitHN6psA2tH0ndXs","Thursday (Original)","A","minor","A minor"
"The Weeknd","1Xyo4u8uXC1ZmMpatF05PJ","6F87lH0I09qlrzvCCKc7lz","album","2011-08-18",2011,"day",0.473,0.478,0,-10.258,0,0.091,0.425,0.000232,0.0629,0.262,109.371,"7xgYvziLsxNd0UznaEw8Oi","https://api.spotify.com/v1/audio-analysis/7xgYvziLsxNd0UznaEw8Oi",4,1,486425,TRUE,"https://api.spotify.com/v1/tracks/7xgYvziLsxNd0UznaEw8Oi",FALSE,"Gone",NA,7,"track","spotify:track:7xgYvziLsxNd0UznaEw8Oi","https://open.spotify.com/track/7xgYvziLsxNd0UznaEw8Oi","Thursday (Original)","C","minor","C minor"
"The Weeknd","1Xyo4u8uXC1ZmMpatF05PJ","6F87lH0I09qlrzvCCKc7lz","album","2011-08-18",2011,"day",0.678,0.352,8,-12.019,0,0.0317,0.536,5.29e-05,0.11,0.397,129.92,"4dXnS1YXBkn4oAIxRLPJcK","https://api.spotify.com/v1/audio-analysis/4dXnS1YXBkn4oAIxRLPJcK",4,1,230783,TRUE,"https://api.spotify.com/v1/tracks/4dXnS1YXBkn4oAIxRLPJcK",FALSE,"Rolling Stone",NA,8,"track","spotify:track:4dXnS1YXBkn4oAIxRLPJcK","https://open.spotify.com/track/4dXnS1YXBkn4oAIxRLPJcK","Thursday (Original)","G#","minor","G# minor"
"The Weeknd","1Xyo4u8uXC1ZmMpatF05PJ","6F87lH0I09qlrzvCCKc7lz","album","2011-08-18",2011,"day",0.53,0.699,11,-8.558,0,0.063,0.0128,0.000152,0.0865,0.212,125.055,"5JQ5Acrgv1VrO9UtMUN052","https://api.spotify.com/v1/audio-analysis/5JQ5Acrgv1VrO9UtMUN052",4,1,353732,FALSE,"https://api.spotify.com/v1/tracks/5JQ5Acrgv1VrO9UtMUN052",FALSE,"Heaven Or Las Vegas",NA,9,"track","spotify:track:5JQ5Acrgv1VrO9UtMUN052","https://open.spotify.com/track/5JQ5Acrgv1VrO9UtMUN052","Thursday (Original)","B","minor","B minor"
"The Weeknd","1Xyo4u8uXC1ZmMpatF05PJ","7zCODUHkfuRxsUjtuzNqbd","album","2011-03-21",2011,"day",0.466,0.403,4,-10.441,0,0.0502,0.59,9.51e-05,0.1,0.0967,75.033,"2ye9iWj5V4g6k6HFeTTAKa","https://api.spotify.com/v1/audio-analysis/2ye9iWj5V4g6k6HFeTTAKa",4,1,249102,FALSE,"https://api.spotify.com/v1/tracks/2ye9iWj5V4g6k6HFeTTAKa",FALSE,"High For This",NA,1,"track","spotify:track:2ye9iWj5V4g6k6HFeTTAKa","https://open.spotify.com/track/2ye9iWj5V4g6k6HFeTTAKa","House Of Balloons (Original)","E","minor","E minor"
"The Weeknd","1Xyo4u8uXC1ZmMpatF05PJ","7zCODUHkfuRxsUjtuzNqbd","album","2011-03-21",2011,"day",0.638,0.335,7,-10.522,0,0.0854,0.505,0.0139,0.116,0.0608,133.853,"4Yw8TyBm9J8cpy2guHUYog","https://api.spotify.com/v1/audio-analysis/4Yw8TyBm9J8cpy2guHUYog",4,1,206421,FALSE,"https://api.spotify.com/v1/tracks/4Yw8TyBm9J8cpy2guHUYog",FALSE,"What You Need",NA,2,"track","spotify:track:4Yw8TyBm9J8cpy2guHUYog","https://open.spotify.com/track/4Yw8TyBm9J8cpy2guHUYog","House Of Balloons (Original)","G","minor","G minor"
"The Weeknd","1Xyo4u8uXC1ZmMpatF05PJ","7zCODUHkfuRxsUjtuzNqbd","album","2011-03-21",2011,"day",0.662,0.511,0,-8.419,1,0.0342,0.00237,0.0036,0.275,0.228,88.989,"2r7BPog74oaTG5shNYiUnV","https://api.spotify.com/v1/audio-analysis/2r7BPog74oaTG5shNYiUnV",4,1,407315,TRUE,"https://api.spotify.com/v1/tracks/2r7BPog74oaTG5shNYiUnV",FALSE,"House Of Balloons / Glass Table Girls",NA,3,"track","spotify:track:2r7BPog74oaTG5shNYiUnV","https://open.spotify.com/track/2r7BPog74oaTG5shNYiUnV","House Of Balloons (Original)","C","major","C major"
"The Weeknd","1Xyo4u8uXC1ZmMpatF05PJ","7zCODUHkfuRxsUjtuzNqbd","album","2011-03-21",2011,"day",0.682,0.51,6,-9.987,0,0.0441,0.143,4.46e-06,0.0797,0.191,120.097,"4jBfUB4kQJCWOrjGLQqhO0","https://api.spotify.com/v1/audio-analysis/4jBfUB4kQJCWOrjGLQqhO0",4,1,314109,TRUE,"https://api.spotify.com/v1/tracks/4jBfUB4kQJCWOrjGLQqhO0",FALSE,"The Morning",NA,4,"track","spotify:track:4jBfUB4kQJCWOrjGLQqhO0","https://open.spotify.com/track/4jBfUB4kQJCWOrjGLQqhO0","House Of Balloons (Original)","F#","minor","F# minor"
"The Weeknd","1Xyo4u8uXC1ZmMpatF05PJ","7zCODUHkfuRxsUjtuzNqbd","album","2011-03-21",2011,"day",0.606,0.57,9,-6.684,1,0.032,0.0217,8.47e-06,0.301,0.258,114.033,"00aqkszH1FdUiJJWvX6iEl","https://api.spotify.com/v1/audio-analysis/00aqkszH1FdUiJJWvX6iEl",4,1,325305,TRUE,"https://api.spotify.com/v1/tracks/00aqkszH1FdUiJJWvX6iEl",FALSE,"Wicked Games",NA,5,"track","spotify:track:00aqkszH1FdUiJJWvX6iEl","https://open.spotify.com/track/00aqkszH1FdUiJJWvX6iEl","House Of Balloons (Original)","A","major","A major"
"The Weeknd","1Xyo4u8uXC1ZmMpatF05PJ","7zCODUHkfuRxsUjtuzNqbd","album","2011-03-21",2011,"day",0.645,0.58,5,-9.527,0,0.0406,0.22,0,0.0878,0.163,101.733,"0GROiXm03OrMC5ltXLhGIu","https://api.spotify.com/v1/audio-analysis/0GROiXm03OrMC5ltXLhGIu",4,1,459659,TRUE,"https://api.spotify.com/v1/tracks/0GROiXm03OrMC5ltXLhGIu",FALSE,"The Party & The After Party",NA,6,"track","spotify:track:0GROiXm03OrMC5ltXLhGIu","https://open.spotify.com/track/0GROiXm03OrMC5ltXLhGIu","House Of Balloons (Original)","F","minor","F minor"
"The Weeknd","1Xyo4u8uXC1ZmMpatF05PJ","7zCODUHkfuRxsUjtuzNqbd","album","2011-03-21",2011,"day",0.694,0.649,2,-5.262,0,0.0353,0.303,2.41e-05,0.206,0.344,120.973,"3mHO1J6kfiArjBo1zhLFGP","https://api.spotify.com/v1/audio-analysis/3mHO1J6kfiArjBo1zhLFGP",4,1,295435,FALSE,"https://api.spotify.com/v1/tracks/3mHO1J6kfiArjBo1zhLFGP",FALSE,"Coming Down",NA,7,"track","spotify:track:3mHO1J6kfiArjBo1zhLFGP","https://open.spotify.com/track/3mHO1J6kfiArjBo1zhLFGP","House Of Balloons (Original)","D","minor","D minor"
"The Weeknd","1Xyo4u8uXC1ZmMpatF05PJ","7zCODUHkfuRxsUjtuzNqbd","album","2011-03-21",2011,"day",0.257,0.443,6,-9.998,0,0.0921,0.49,0.00049,0.219,0.112,77.528,"2yBz1hupoOBncorzuKcJ2z","https://api.spotify.com/v1/audio-analysis/2yBz1hupoOBncorzuKcJ2z",4,1,363057,TRUE,"https://api.spotify.com/v1/tracks/2yBz1hupoOBncorzuKcJ2z",FALSE,"Loft Music",NA,8,"track","spotify:track:2yBz1hupoOBncorzuKcJ2z","https://open.spotify.com/track/2yBz1hupoOBncorzuKcJ2z","House Of Balloons (Original)","F#","minor","F# minor"
"The Weeknd","1Xyo4u8uXC1ZmMpatF05PJ","7zCODUHkfuRxsUjtuzNqbd","album","2011-03-21",2011,"day",0.454,0.668,6,-5.821,0,0.03,0.205,0.000841,0.0938,0.168,85.994,"6tjsbysvZh8Pq8DZA5ldrn","https://api.spotify.com/v1/audio-analysis/6tjsbysvZh8Pq8DZA5ldrn",4,1,342828,FALSE,"https://api.spotify.com/v1/tracks/6tjsbysvZh8Pq8DZA5ldrn",FALSE,"The Knowing",NA,9,"track","spotify:track:6tjsbysvZh8Pq8DZA5ldrn","https://open.spotify.com/track/6tjsbysvZh8Pq8DZA5ldrn","House Of Balloons (Original)","F#","minor","F# minor"
